Name,Type,Tier,Attack,Wait,WL,WW,BB,SC,SH,ST,In-game Description,,
Flatter,Dark,A / S,0,6,x,x,,,,x,The user flatters enemies in front of itself; which confuses them but raises the amount of damage they deal and reduces the amount of damage they take.,C Tier,Skills that due to their limitations aren't very consistent either in doing their job or procing very often.
Draco Meteor,Dragon,A,377,5,x,x,,,,,The user summons several meteors down around itself; damaging enemies hit by them. Sometimes reduces the amount of damage the user deals.,D Tier,Skills that are very bad in damage; utility; or concept.
Dragon Claw,Dragon,B,296,5,x,x,x,,,,The user gathers its strength; then charges forward while spinning; damaging enemies with its sharp claws.,F Tier,Skills that have no real place or use in the current game's build.
Dragon Rush,Dragon,B,141,5,x,x,,x,,,The user flies into enemies a short distance from itself with great intensity; damaging them.,META,Skills with possible hidden S Tier uses.
Twister,Dragon,B,115,7,x,x,x,x,,,The user whips up several tornadoes and sends them out in front of itself; damaging enemies hit by them.,,
Outrage,Dragon,,104,5,x,x,x,,,,The user rampages about; attacking and damaging any enemies in its path. Sometimes confuses the user.,,
Dragon Dance,Dragon,B,0,8,x,x,,,,,The user vigorously performs a mystic; powerful dance that raises the amount of damage it deals and its movement speed for a while.,,
Dragon Pulse,Dragon,B,188,7,x,x,x,x,,,The user sends a shock wave flying from its mouth; damaging enemies hit by it.,,
Thunder,Electric,A,204,5,x,x,,,,,The user strikes the area in front of itself with a lightning bolt. Deals damage to nearby enemies. Sometimes paralyzes enemies.,,
Thunder Punch,Electric,,194,5,x,x,x,,,x,The user charges its fist with electricity and unleashes a shocking punch on enemies directly in front of itself; sometimes paralyzing them.,,
Thunder Shock,Electric,,173,5,x,x,,x,,x,After storing up electricity; the user fires it toward enemies in front of itself; dealing damage to them. Sometimes paralyzes enemies.,,
Volt Tackle,Electric,,110,6,x,x,,,,x,After electrifying itself and charging toward enemies; the user jumps and discharges electricity; damaging enemies hit by it and sometimes paralyzing them.,,
Spark,Electric,,81,5,x,x,,,,x,The user charges its body with electricity and charges toward enemies in front of itself. Sometimes paralyzes enemies.,,
Thunderbolt,Electric,C,80,5,x,x,,x,,x,The user discharges tremendous electricity all around itself. Deals damage to enemies around the user. Sometimes paralyzes enemies.,,
Electric Terrain,Electric,C,0,5,x,x,,,x,x,The user gathers electrical power beneath itself; raising the damage it deals for a while.,,
Electroweb,Electric,F,0,2,x,x,x,x,,x,The user spreads an electric net out directly in front of itself; lowering the movement speed of enemies hit by it for a while.,,
Charge,Electric,A,0,9,x,x,,,x,x,The user stores up electricity; raising the damage it deals and making it resistant to negative effects for a while.,,
Dazzling Gleam,Fairy,C,146,5,x,x,,,,,The user moves about as it emits a powerful flash that damages enemies hit by it.,,
Play Rough,Fairy,C,98,5,x,x,,,,x,The user plays rough with enemies in front of itself; damaging them. Sometimes lowers the damage enemies deal.,,
Charm,Fairy,D,0,3,x,x,,,,x,The user makes surrounding enemies less wary with its cute behavior; often reducing the amount of damage they deal.,,
Draining Kiss,Fairy,D,165,9,x,x,x,,,,The user kisses enemies directly in front of itself and damages them. Part of the damage dealt restores the user's HP.,,
Sweet Kiss,Fairy,C,165,3,x,x,x,,,x,The user kisses enemies directly in front of itself with a sweet; angelic kiss that often confuses them.,,
High Jump Kick,Fighting,B,402,5,x,x,,,,,After charging toward enemies in front of itself; the user jumps up and deals damage with a knee kick. The user also takes recoil damage.,,
Cross Chop,Fighting,B,273,5,x,x,,,,,The user jumps toward enemies in front of itself and smacks them with a two handed chop; damaging them. Critical hits land more easily.,,
Close Combat,Fighting,SS,245,5,x,x,,x,,,The user gets right up on enemies in front of itself and smacks them with a single blow; damaging them. Sometimes raises the amount of damage the user takes.,,
Drain Punch,Fighting,,223,9,x,x,x,,,,The user fires a punch at enemies directly in front of itself; damaging them. It also absorbs power with its fist; restoring its own HP.,,
Rolling Kick,Fighting,B,156,5,x,x,,x,,,The user kicks as it spins in place; dealing damage to surrounding enemies.,,
Submission,Fighting,,130,5,x,x,,,,,The user spins toward enemies in front of itself; smashing into them. Deals damage to enemies hit by the user as it whirls around.,,
Dynamic Punch,Fighting,,87,5,x,x,x,,,x,The user punches enemies directly in front of itself with its full; concentrated power. Sometimes confuses enemies.,,
Power-Up Punch,Fighting,,64,5,x,x,,,,,The user delivers a punch with its hard fist to enemies directly in front of itself; damaging them. Often raises the amount of damage the user deals.,,
Rock Smash,Fighting,F,29,1,x,x,,,,,The user unleashes its fury; damaging enemies in a broad area nearby and destroying surrounding trees and rocks.,,
Bulk Up,Fighting,SS,0,8,x,x,,,x,x,The user tenses its muscles to bulk up its body; raising the damage it deals for a while. This also reduces the damage the user takes.,,
Fire Punch,Fire,C,229,5,x,x,x,,,x,The user imbues its fist with the power of flames; and strikes enemies directly in front of it with a burning punch. Deals damage and sometimes burns enemies.,,
Fire Blast,Fire,A,179,5,x,x,,x,,x,The user sprays an all consuming fire on the ground; damaging enemies hit by it and sometimes burning them.,,
Lava Plume,Fire,D,132,5,x,x,,,,x,The user spouts scarlet flames all around itself. Deals damage to enemies around it. Sometimes burns enemies.,,
Heat Wave,Fire,B,123,7,x,X,x,x,,x,The user exhales hot breath in front of itself; damaging enemies hit by it and sometimes burning them.,,
Ember,Fire,C,109,7,x,x,,x,,x,The user fires sparks in front of itself that split and run in three directions when they hit the ground. Deals damage to enemies they hit. Sometimes burns enemies.,,
Fire Spin,Fire,,97,5,x,x,,x,,x,The user creates flames all around itself and fires them off in a spiral. Deals damage to enemies they hit. Sometimes burns enemies.,,
Flamethrower,Fire,C,94,5,x,x,x,x,,x,The user continuously breathes out long flames for a while. Deals damage to enemies as long as they remain in the flames. Sometimes burns enemies.,,
Flame Wheel,Fire,,57,5,x,x,x,,,x,The user cloaks itself in fire and charges forward; damaging enemies it hits and sometimes burning them.,,
Flame Charge,Fire,B,0,5,x,x,,,x,x,The user stores up the power of flames; raising the damage it deals for a while.,,
Flare Blitz,Fire,,128,5,x,x,,,,x,The user creates a path of flames in front of itself and charges forward along it. Deals damage to enemies. Sometimes burns enemies.,,
Will-O-Wisp,Fire,D,19,3,x,x,x,,,x,The user drapes itself with sinister flames and attacks enemies directly in front of it. Often burns enemies.,,
Drill Peck,Flying,A,321,5,x,x,,,,,The user attacks enemies directly in front of itself with its sharp beak; damaging them.,,
Fly,Flying,B,243,5,x,x,x,,,,The user flies toward enemies far in front of itself; then swoops down to deal damage to them.,,
Bounce,Flying,B,186,5,x,x,,,,,The user bounces forward high into the air twice; damaging enemies it hits.,,
Sky Attack,Flying,A,125,5,x,x,x,,,,After flying up and bracing itself; the user charges at enemies directly in front of itself; damaging them. Critical hits land more easily.,,
Aerial Ace,Flying,,124,5,x,x,,x,,,The user quickly slashes in front of itself twice; dealing damage.,,
Hurricane,Flying,C,105,5,x,x,,x,,x,The user whips up an intense wind around itself; damaging surrounding enemies and sometimes confusing them.,,
Gust,Flying,C,61,7,x,x,x,x,,,The user sends an intense gust of wind out in front of itself that whirls around and damages enemies hit by it.,,
Tailwind,Flying,D,0,2,x,x,,,x,x,The user creates an intense swirling wind that raises its movement speed for a while.,,
Roost,Flying,F,0,9,x,x,,,,,The user briefly rests its body; restoring a bit of its HP.,,
Lick,Ghost,C,233,5,x,x,x,,,x,The user licks enemies all around itself with its long tongue; damaging them. Sometimes paralyzes enemies.,,
Astonish,Ghost,,180,5,x,x,,,,,The user tries to startle enemies directly in front of itself; damaging those taken by surprise.,,
Shadow Ball,Ghost,B,63,7,x,x,x,x,,x,The user hurls a shadowy blob in front of itself; damaging enemies hit by it. Sometimes raises the amount of damage they take.,,
Confuse Ray,Ghost,A,0,3,x,x,x,x,,x,The user exposes surrounding enemies to a sinister ray; often confusing them.,,
Vine Whip,Grass,SS,237,5,x,x,x,x,,,The user strikes enemies in front of itself with whiplike vines. Deals damage to enemies hit by them.,,
Solar Beam,Grass,C,227,7,x,x,x,x,,,The user gathers light and unleashes it in front of itself; dealing damage to enemies hit by it.,,
Bullet Seed,Grass,C,168,7,x,x,x,x,,,The user sends several seeds flying out in front of itself simultaneously; damaging enemies hit by them.,,
Mega Drain,Grass,,165,9,x,x,x,,,,The user attacks enemies in front of itself; dealing damage to them. Some of the damage dealt is absorbed by the user; restoring its HP.,,
Petal Dance,Grass,C,156,5,x,x,,x,,,The user spins in place; scattering petals that deal damage to enemies around it.,,
Razor Leaf,Grass,B,118,7,x,x,x,x,,,The user launches sharp edged leaves to slash at enemies; damaging them. Critical hits land more easily.,,
Leech Seed,Grass,B,103,9,x,x,,x,,,The user plants a seed on the ground in front of itself. Enemies in range are gradually damaged. Part of the damage dealt is absorbed to restore the user's HP.,,
Stun Spore,Grass,D,21,3,x,x,x,,,x,The user scatters numbing powder directly in front of itself. Often paralyzes enemies hit by it.,,
Synthesis,Grass,B,0,5,x,x,,,x,x,The user absorbs light; raising the damage it deals for a while.,,
Spore,Grass,,0,,x,x,,,,,The user scatters sleep inducing spores directly in front of itself; often making enemies fall asleep.,,
Earthquake,Ground,C,390,5,x,x,,x,,,The user causes an earthquake that damages surrounding enemies.,,
Dig,Ground,A,243,5,x,x,x,,,,The user digs a tunnel to travel beneath the feet of enemies in front of itself; then pops out from beneath them to damage them.,,
Mud Bomb,Ground,B,215,5,x,x,x,x,,x,The user throws a lump of mud in front of itself that splits open when it hits the ground; damaging surrounding enemies and sometimes raising the amount of damage they take.,,
Bonemerang,Ground,B,131,7,x,x,x,x,,,The user throws a boomerang made of bone; damaging enemies hit by it.,,
Mud-Slap,Ground,C,56,7,x,x,x,x,,x,The user hurls mud in three directions; dealing damage to enemies hit by it. Sometimes reduces their movement speed.,,
Shore Up,Ground,D,0,,x,x,,,,,The user gathers sand from beneath itself; restoring a bit of its HP.,,
Spikes,Ground,,221,5,x,x,x,x,,,The user scatters spikes in front of itself; damaging enemies that step on them.,,
Ice Punch,Ice,C,175,5,x,x,x,,,x,The user chills its fist and unleashes a freezing punch on enemies directly in front of it. Sometimes freezes enemies.,,
Icicle Crash,Ice,B,143,5,x,x,,x,,x,The user drops frigid icicles in front of itself. Deals damage to enemies hit by them and sometimes freezes them.,,
Ice Beam,Ice,C,133,7,x,x,x,x,,x,The user fires an icy cold beam at enemies in front of itself. Deals damage to enemies and sometimes freezes them.,,
Icy Wind,Ice,C,126,7,x,x,x,x,,x,The user sends a freezing gust of chilled air at enemies in front of itself; damaging them. Sometimes lowers enemies' movement speed.,,
Blizzard,Ice,D,52,5,x,x,x,,,x,The user moves about while creating a blizzard centered on itself. Deals damage to enemies around the user and sometimes freezes them.,,
Aurora Veil,Ice,A,0,7,x,x,,,x,x,The user cloaks itself in a veil of light; reducing the amount of damage it takes for a while.,,
Mega Punch,Normal,A,561,5,x,x,x,,,,After approaching enemies in front of itself; the user slugs enemies directly in front of itself with a muscle packed punch; damaging them.,,
Self-Destruct,Normal,META,494,5,x,x,x,,,,The user approaches enemies and causes an explosion; damaging all surrounding enemies. The tradeoff is that the user takes enough damage to knock itself out.,,
Hyper Beam,Normal,B,300,10,x,x,x,x,,,The user stores up power and then fires a tremendous beam at enemies. Deals severe damage to enemies it hits.,,
Scratch,Normal,B,231,5,x,x,,,,,The user rakes its hard; pointed claws over enemies directly in front of itself; damaging them.,,
Slam,Normal,,211,5,x,x,x,,,,The user slams nearby enemies with a long tail; vines; or the like; damaging all of them.,,
Take Down,Normal,B,189,5,x,x,,,,,The user slams into enemies in front of itself with a reckless; full body charge; damaging all enemies hit by it. The user also takes recoil damage.,,
Stomp,Normal,B,180,5,x,x,x,,,,The user stomps on enemies in front of itself with a big foot; damaging them.,,
Giga Impact,Normal,B,176,5,x,x,,,,,The user focuses every bit of its power and charges toward enemies in front of itself; dealing huge damage to them.,,
Tackle,Normal,C,163,5,x,x,,,,,The user smashes into enemies in front of itself with all its might; damaging them.,,
Fury Swipes,Normal,A,146,5,x,x,x,,,,The user repeatedly swipes at enemies directly in front of itself; damaging them.,,
Extreme Speed,Normal,,130,5,x,x,,,,,The user charges into enemies in front of itself with blinding speed; damaging them.,,
Flail,Normal,C,130,5,x,x,,,,,The user flails about; damaging enemies it hits.,,
Tri Attack,Normal,C,81,5,x,x,,,,x,The user's body is imbued with three powers as it attacks enemies in front of itself; damaging them. Sometimes burns; paralyzes; or freezes enemies.,,
Splash,Normal,D,56,3,x,x,x,x,,,The user splashes in place.,,
Harden,Normal,A,0,5,x,x,,,x,x,The user stiffens its body; lowering the damage it takes for a while.,,
Swords Dance,Normal,B,0,5,x,x,,,x,x,With a frenetic dance to uplift the fighting spirit; the user raises the amount of damage it deals for a while.,,
Growl,Normal,B,0,4,x,x,x,x,,x,The user growls in an endearing way; making surrounding enemies less wary and often reducing the amount of damage they deal.,,
Leer,Normal,B,0,3,x,x,x,,,x,The user glares at nearby enemies to intimidate them; often raising the amount of damage they take.,,
Whirlwind,Normal,D,0,2,x,x,x,x,,,The user whips up a strong wind around itself; blowing away enemies hit by it.,,
Recover,Normal,F,0,9,x,x,,,,,Restoring its own cells; the user restores its HP.,,
Roar,Normal,D,0,2,x,x,,x,,,The user roars intensely; blowing away surrounding enemies.,,
Soft-Boiled,Normal,D,0,9,x,x,,,,,The user restores its HP with the power of eggs.,,
Supersonic,Normal,A,0,3,x,x,,x,,x,The user generates odd sound waves from its body; often confusing surrounding enemies.,,
Sing,Normal,F,0,3,x,x,x,x,,x,The user sings to enemies around itself with its calming voice; often putting them to sleep.,,
Transform,Normal,F,0,0,x,x,,,,,When Ditto transforms into another Pokemon; this changes into a move that Pokemon can learn.,,
Substitute,Normal,META,0,5,x,x,,,,,The user puts out a substitute for itself that enemies are forced to attack.,,
Belly Drum,Normal,A,0,5,x,x,,,x,x,The user uses its own HP to raise all of its stats for a while.,,
Work Up,Normal,A,0,8,x,x,,,x,x,The user is roused; raising the amount of damage it deals and reducing the amount of damage it takes for a while.,,
Flash,Normal,F,0,2,x,x,,,,x,The user suddenly flashes a bright light at surrounding enemies; often lowering their movement speed.,,
Focus Energy,Normal,B,0,5,x,x,,,x,x,The user takes a deep breath and focuses; raising the amount of damage it deals for a while.,,
Egg Bomb,Normal,C,201,5,x,x,,x,,,The user scatters eggs around itself; damaging enemies hit by them.,,
Follow Me,Normal,C,0,2,x,x,,,,,The user grabs the attention of surrounding enemies; forcing them to target it.,,
Explosion,Normal,META,683,5,x,x,x,,,,The user causes a tremendous explosion; dealing huge damage to surrounding enemies. The trade off is that the user takes enough damage to knock itself out.,,
Comet Punch,Normal,B,201,5,x,x,,,,,The user unleashes a flurry of punches on enemies directly in front of itself; damaging them.,,
Smog,Poison,D,188,5,x,x,,,,x,The user spews poison around itself; damaging enemies. Sometimes poisons enemies.,,
Sludge Bomb,Poison,B,173,5,x,x,x,x,,x,The user shoots out a glob of sludge that splits open when it hits the ground; damaging surrounding enemies. Sometimes poisons enemies.,,
Poison Sting,Poison,B,107,7,x,x,x,,,x,The user fires a poisonous stinger at enemies in front of itself. Sometimes poisons enemies hit by it.,,
Poison Powder,Poison,D,67,4,x,x,x,,,x,The user scatters poison powder in front of itself; often poisoning enemies hit by it.,,
Toxic,Poison,D,59,4,x,x,x,,,x,The user sprays a powerful poison around itself; often poisoning enemies hit by it.,,
Acid Armor,Poison,A,0,5,x,x,,,x,x,The user alters its cellular structure to liquefy itself; reducing the damage it takes for a while.,,
Venom Drench,Poison,,118,5,x,x,,,,,The user spews poison in front of itself; sometimes raising the amount of damage enemies take.,,
Zen Headbutt,Psychic,C,370,5,x,x,x,,,,The user focuses its willpower to its head; then smashes it into enemies directly in front of itself; dealing damage to enemies hit by it.,,
Psycho Cut,Psychic,A,311,5,x,x,x,,,,After moving forward; the user deals damage to enemies with blades formed by psychic power. Critical hits land more easily.,,
Psystrike,Psychic,C,129,5,x,x,x,x,,,The user creates a large orb of light in front of itself. The orb then splits into many smaller ones that fly out in all directions; dealing damage to surrounding enemies.,,
Psychic,Psychic,A,121,7,x,x,,x,,x,The user creates a large; mysterious light and fires it out; dealing damage to enemies hit by it. Sometimes raises the amount of damage they take.,,
Psybeam,Psychic,B,69,7,x,x,x,x,,x,The user sends peculiar rays of light out in three directions; damaging enemies hit by them. Sometimes confuses enemies.,,
Barrier,Psychic,A,0,5,x,x,,,x,x,The user throws up a wall around itself; lowering the amount of damage it takes for a while.,,
Amnesia,Psychic,A,0,8,x,x,,,x,x,The user temporarily empties its mind to forget its concerns; raising the amount of damage it deals and making it more resistant to negative effects.,,
Light Screen,Psychic,B,0,3,x,x,,,x,x,The user creates a wall of light; making it harder for it to be affected by negative effects for a while.,,
Hypnosis,Psychic,D,0,,x,x,,,,,The user employs hypnotic suggestion; often making enemies in front of itself fall asleep.,,
Agility,Psychic,F,0,2,x,x,,,x,x,The user relaxes and lightens its body; raising its movement speed for a while.,,
Teleport,Psychic,F,0,3,x,x,,,,,The user utilizes its psychic powers to teleport. (Meta? for positioning?),,
Meditate,Psychic,B,0,,x,x,,,,,The user meditates to awaken the power deep within its body; raising the amount of damage it deals for a while.,,
Rest,Psychic,F,0,9,x,x,,,,,The user rests in place; greatly restoring its HP.,,
Rock Throw,Rock,S,234,5,x,x,,x,,,The user picks up two rocks and hurls them in front of itself; damaging enemies hit by them.,,
Rock Tomb,Rock,A,212,5,x,x,,,,x,The user drops boulders directly in front of itself; damaging enemies hit by them and sometimes lowering their movement speed.,,
Stealth Rock,Rock,B,120,5,x,x,,x,,,The user creates pillars of stone from the ground; damaging enemies hit by them.,,
Sandstorm,Rock,C,117,5,x,x,,,,,The user creates a sandstorm around itself; damaging enemies hit by it.,,
Rollout,Rock,C,130,5,x,x,,,,,The user spins around; damaging surrounding enemies it smashes into.,,
Rock Polish,Rock,F,0,2,x,x,,,,,The user polishes its body to reduce drag; raising its movement speed for a while.,,
Rock Blast,Rock,,,,x,x,,,,,The user hurls hard rocks in front of itself; damaging enemies hit by them.,,
Metal Claw,Steel,B,211,5,x,x,x,,x,x,The user rakes enemies in front of itself with its steel claws; dealing damage. Sometimes raises the amount of damage the user deals.,,
Flash Cannon,Steel,B,170,7,x,x,x,x,,x,The user focuses all of its light energy into a single point and fires a beam in front of itself; sometimes raising the amount of damage enemies take.,,
Steel Wing,Steel,,81,5,x,x,x,,x,x,The user charges at enemies in front of itself and smacks them with its hard wings; dealing damage. Sometimes reduces the amount of damage the user takes.,,
Iron Tail,Steel,C,67,5,x,x,x,,,x,The user swings its steel hard tail; damaging surrounding enemies and sometimes raising the amount of damage they take.,,
Metal Sound,Steel,B,0,3,x,x,x,x,,x,Enemies near the user are forced to listen to a horrible sound like metal scraping; often raising the amount of damage they take.,,
Iron Defense,Steel,A,0,5,x,x,,,x,x,The user hardens its skin until it's like iron; lowering the damage it takes for a while.,,
Waterfall,Water,A,252,5,x,x,,x,,,The user approaches enemies in front of itself and creates a pillar of water beneath them. This deals damage to enemies it hits.,,
Hydro Pump,Water,SS,213,5,x,x,x,,,,The user shoots four pillars of water up from the ground and sends them out in front of itself. Deals damage to enemies hit by them.,,
Aqua Jet,Water,B,182,5,x,x,,,,,The user charges at enemies in front of itself with tremendous speed; dealing damage to them.,,
Surf,Water,B,127,5,x,x,x,,,,The user creates a wide wave and charges forward on it. Deals damage to enemies caught in the wave.,,
Whirlpool,Water,D,94,5,x,x,x,,,,The user creates a whirlpool around itself. Deals damage to enemies around the user.,,
Bubble,Water,C,68,7,x,x,x,x,,x,The user fires bubbles in three directions. Deals damage to enemies hit by the bubbles and sometimes lowers their movement speed.,,
Withdraw,Water,A,0,5,x,x,,,x,x,The user withdraws into its hard shell; reducing the amount of damage it takes for a while.,,
Aqua Ring,Water,C,0,9,x,x,,,,,The user envelops itself in a veil made of water; restoring some of its HP.,,
